P4,O2,P8,T8,C4,Cz,Fz,F4,Fp2,F8,Fp1,F7,F3,C3,T7,P7,P3,O1,Pz
-2.394357126,-5.361988025,-14.27024002,-12.16070797,-6.078950896,-0.646865749,-2.491307894,-2.118069455,-3.805153314,-1.598313944,3.780790618,9.10652167,6.615361651,-3.604315653,-2.722113684,-12.10054776,-11.19294735,3.758056043,35.6064177
-5.527352774,-5.681757269,-15.2420792,-12.35018946,-8.002194101,-1.318927738,0.502475167,-3.89666768,3.277245941,9.752155406,10.56104461,8.77517672,8.46638539,-2.152099119,1.793679617,-10.5883872,-11.94843397,2.415985255,31.24604038
-9.860169309,-10.07189296,-17.5992049,-14.94851481,-10.75147237,-2.720633173,1.817263775,-7.031902843,5.107756423,11.49745312,12.16140846,5.844635457,8.041173318,-1.722850423,2.405101891,-11.74841235,-14.41973044,-1.93792941,25.91671992
-13.61695827,-16.89624887,-20.04469827,-17.78339367,-13.29835863,-4.095894728,0.907499165,-9.672270097,2.227534435,3.658179053,8.487227693,2.454155813,6.113619462,-2.072819935,0.326613358,-13.49008291,-16.78982097,-7.586479508,21.36292364
-14.88698931,-22.83049442,-20.87257186,-17.82459335,-14.36498364,-4.797096119,-1.319748831,-9.961358029,-1.332829054,-6.58086248,2.731465106,-0.03642293,3.940617796,-2.749179115,-1.516008139,-13.67207192,-16.91337787,-11.62752071,19.38845447
-12.86821778,-24.86356507,-18.82652858,-13.3194347,-13.15611785,-4.658723838,-2.492113906,-6.924205746,-1.010736605,-9.573251851,-0.604695559,-1.18383631,2.745011069,-3.320362258,-0.647279927,-11.55679295,-13.79044526,-11.74606608,20.7838971
-8.338905781,-22.02998406,-13.77410181,-5.213783629,-9.905928475,-4.009056443,-0.24166861,-1.040108725,4.986250194,-0.007636583,1.280479092,-0.84497385,3.203261294,-3.552134374,3.14927723,-8.146521913,-8.206837757,-7.529075006,24.95608287
-3.059640244,-15.77112777,-6.81840376,3.238376174,-5.83669882,-3.333728581,5.786689465,5.807067943,14.4419167,19.15869587,7.577272823,1.212935519,5.123083662,-3.48539948,7.710794903,-5.338529515,-2.191874627,-0.561859305,30.42077956
1.374289702,-8.868910493,0.204367689,8.466105523,-2.500751346,-2.873198349,13.10264215,11.08924525,22.72403234,38.43212631,14.42963067,4.924242413,7.486441154,-3.405327728,10.0952559,-4.670683926,2.189670049,6.556723445,35.66347702
4.340910337,-3.863889979,5.533133039,8.781241236,-0.907019317,-2.474787523,17.68967229,12.82395617,25.8468693,47.77939491,17.55800114,9.192623796,8.90857743,-3.70888766,8.624573609,-6.582361715,3.814313105,11.48504598,39.69306405
6.138037403,-2.026380681,8.143132397,5.255440159,-0.996537749,-1.797622094,16.71128482,10.58945456,22.72013427,42.5660761,15.04277442,11.79772064,8.34115381,-4.702010797,3.829406159,-10.55414777,2.693001999,12.93306668,42.02628918
7.307144785,-3.292145211,7.963584514,0.744577521,-1.794554926,-0.671828548,10.5782373,5.750989336,15.2011515,25.59540652,8.337496497,10.46037047,5.659291838,-6.39947957,-2.282955669,-15.74777484,-0.471098649,10.78018326,42.42265645
8.056775838,-6.772507835,5.667768602,-2.120908412,-2.101838373,0.708928121,2.723903077,0.693976728,6.389134926,4.584022042,0.967352265,4.486180692,1.777372465,-8.434081474,-7.858975982,-21.46693638,-4.77892954,5.839109389,40.8729806
8.306029411,-11.19926549,2.276758846,-2.500490707,-1.237766641,1.928686123,-2.789189995,-2.518204919,-1.216021375,-12.4374307,-3.941966009,-4.324082332,-1.816111899,-10.16000389,-12.32255013,-27.09094091,-9.266898607,-0.3653297,37.95822234
8.197118696,-15.07221382,-1.183040525,-1.461140517,0.638661537,2.695251627,-3.992142476,-3.23552532,-6.385466162,-20.54225331,-5.454593123,-12.43571864,-3.860283457,-10.94027523,-16.16212687,-31.73282301,-12.7808839,-5.789656572,35.1349354
8.424109099,-16.81469419,-3.889968186,-0.80356338,2.762616441,3.079523114,-2.004139554,-2.37154899,-8.677732483,-18.63747479,-4.80683455,-16.68722488,-3.988661946,-10.48368539,-19.77182916,-34.17451367,-14.04510252,-8.316670186,34.36836208
